, 内存使用量(MB) -Max, 内存利用率(%) -Max,
2026-05-09T00:00:00+08:00,1342.333,43.799,
2026-05-09T01:00:00+08:00,1333,43.549,
2026-05-09T02:00:00+08:00,1328,43.41,
2026-05-09T03:00:00+08:00,1355.833,44.159,
2026-05-09T04:00:00+08:00,1337,43.651,
2026-05-09T05:00:00+08:00,1322,43.244,
2026-05-09T06:00:00+08:00,1322.5,43.264,
2026-05-09T07:00:00+08:00,1322.666,43.266,
2026-05-09T08:00:00+08:00,1323.666,43.295,
2026-05-09T09:00:00+08:00,1322.333,43.258,
2026-05-09T10:00:00+08:00,1322.333,43.263,
2026-05-09T11:00:00+08:00,1328.833,43.435,
2026-05-09T12:00:00+08:00,1335,43.603,
2026-05-09T13:00:00+08:00,1325.5,43.348,
2026-05-09T14:00:00+08:00,1336.666,43.646,
2026-05-09T15:00:00+08:00,1331.166,43.498,
2026-05-09T16:00:00+08:00,1176.833,39.356,
2026-05-09T17:00:00+08:00,1183.166,39.52,
2026-05-09T18:00:00+08:00,1196.5,39.878,
2026-05-09T19:00:00+08:00,1181.166,39.47,
2026-05-09T20:00:00+08:00,1180.166,39.447,
2026-05-09T21:00:00+08:00,1179.166,39.414,
2026-05-09T22:00:00+08:00,1197.166,39.898,
2026-05-09T23:00:00+08:00,1178.5,39.395,
2026-05-10T00:00:00+08:00,1198.166,39.924,
2026-05-10T01:00:00+08:00,1187,39.626,
2026-05-10T02:00:00+08:00,1192,39.756,
2026-05-10T03:00:00+08:00,1197.5,39.903,
2026-05-10T04:00:00+08:00,1191.333,39.736,
2026-05-10T05:00:00+08:00,1191,39.732,
2026-05-10T06:00:00+08:00,1188.666,39.668,
2026-05-10T07:00:00+08:00,1202.5,40.037,
2026-05-10T08:00:00+08:00,1193,39.786,
2026-05-10T09:00:00+08:00,1192.833,39.783,
2026-05-10T10:00:00+08:00,1195.166,39.851,
2026-05-10T11:00:00+08:00,1203.5,40.063,
2026-05-10T12:00:00+08:00,1210,40.241,
2026-05-10T13:00:00+08:00,1198.333,39.928,
2026-05-10T14:00:00+08:00,1196.833,39.89,
2026-05-10T15:00:00+08:00,1199.333,39.957,
2026-05-10T16:00:00+08:00,1202,40.03,
2026-05-10T17:00:00+08:00,1201,40.0001,
2026-05-10T18:00:00+08:00,1226,40.671,
2026-05-10T19:00:00+08:00,1211.166,40.275,
2026-05-10T20:00:00+08:00,1202,40.03,
2026-05-10T21:00:00+08:00,1196.166,39.879,
2026-05-10T22:00:00+08:00,1688,53.09,
2026-05-10T23:00:00+08:00,3104,90.277,
2026-05-11T00:00:00+08:00,3049.833,88.823,
2026-05-11T01:00:00+08:00,3113.333,90.469,
2026-05-11T02:00:00+08:00,1112.666,36.791,
2026-05-11T03:00:00+08:00,1134.666,37.479,
2026-05-11T04:00:00+08:00,1107.666,36.752,
2026-05-11T05:00:00+08:00,1114.166,36.943,
2026-05-11T06:00:00+08:00,1123,37.183,
2026-05-11T07:00:00+08:00,1112.333,36.919,
2026-05-11T08:00:00+08:00,1123.666,37.242,
